   4,18196447E-04
   4,44272538E-04
   4,50359244E-04
   4,52458891E-04
   4,53295606E-04
   4,53622110E-04
   4,53708235E-04
   4,53667745E-04
   4,53554037E-04
   4,53393962E-04
   4,53201496E-04
   4,52983815E-04
   4,52744197E-04
   4,52483468E-04
   4,52200695E-04
   4,51893492E-04
   4,51558038E-04
   4,51188891E-04
   4,50778551E-04
   4,50316711E-04
   4,49789022E-04
   4,49175011E-04
   4,48444503E-04
   4,47551127E-04
   4,46419725E-04
   4,44919817E-04
   4,42802988E-04
   4,39530313E-04
   4,33671182E-04
   4,19754644E-04
   3,39699477E-04
