      Radius     |       Dichte       |       Masse
 ___________________________________________________________
 
  1.0000E-03     |      0.9999998     |   3.3333E-10
  2.0000E-03     |      0.9999993     |   2.6667E-09
  3.0000E-03     |      0.9999985     |   9.0000E-09
  4.0000E-03     |      0.9999973     |   2.1333E-08
  5.0000E-03     |      0.9999958     |   4.1667E-08
  6.0000E-03     |      0.9999940     |   7.2000E-08
  7.0000E-03     |      0.9999918     |   1.1433E-07
  8.0000E-03     |      0.9999893     |   1.7067E-07
  9.0000E-03     |      0.9999865     |   2.4300E-07
  1.0000E-02     |      0.9999833     |   3.3333E-07
  1.1000E-02     |      0.9999798     |   4.4366E-07
  1.2000E-02     |      0.9999760     |   5.7599E-07
  1.3000E-02     |      0.9999718     |   7.3232E-07
  1.4000E-02     |      0.9999673     |   9.1465E-07
  1.5000E-02     |      0.9999625     |   1.1250E-06
  1.6000E-02     |      0.9999573     |   1.3653E-06
  1.7000E-02     |      0.9999518     |   1.6376E-06
  1.8000E-02     |      0.9999460     |   1.9439E-06
  1.9000E-02     |      0.9999398     |   2.2863E-06
  2.0000E-02     |      0.9999333     |   2.6666E-06
  2.1000E-02     |      0.9999265     |   3.0869E-06
  2.2000E-02     |      0.9999193     |   3.5492E-06
  2.3000E-02     |      0.9999118     |   4.0555E-06
  2.4000E-02     |      0.9999040     |   4.6077E-06
  2.5000E-02     |      0.9998958     |   5.2080E-06
  2.6000E-02     |      0.9998873     |   5.8583E-06
  2.7000E-02     |      0.9998785     |   6.5605E-06
  2.8000E-02     |      0.9998693     |   7.3168E-06
  2.9000E-02     |      0.9998598     |   8.1290E-06
  3.0000E-02     |      0.9998500     |   8.9992E-06
  3.1000E-02     |      0.9998398     |   9.9294E-06
  3.2000E-02     |      0.9998293     |   1.0922E-05
  3.3000E-02     |      0.9998185     |   1.1978E-05
  3.4000E-02     |      0.9998073     |   1.3100E-05
  3.5000E-02     |      0.9997958     |   1.4290E-05
  3.6000E-02     |      0.9997840     |   1.5550E-05
  3.7000E-02     |      0.9997718     |   1.6882E-05
  3.8000E-02     |      0.9997593     |   1.8288E-05
  3.9000E-02     |      0.9997465     |   1.9770E-05
  4.0000E-02     |      0.9997333     |   2.1330E-05
  4.1000E-02     |      0.9997198     |   2.2970E-05
  4.2000E-02     |      0.9997060     |   2.4692E-05
  4.3000E-02     |      0.9996918     |   2.6497E-05
  4.4000E-02     |      0.9996773     |   2.8389E-05
  4.5000E-02     |      0.9996625     |   3.0369E-05
  4.6000E-02     |      0.9996473     |   3.2438E-05
  4.7000E-02     |      0.9996318     |   3.4600E-05
  4.8000E-02     |      0.9996160     |   3.6856E-05
  4.9000E-02     |      0.9995998     |   3.9207E-05
  5.0000E-02     |      0.9995833     |   4.1656E-05
  5.1000E-02     |      0.9995665     |   4.4205E-05
  5.2000E-02     |      0.9995493     |   4.6857E-05
  5.3000E-02     |      0.9995319     |   4.9612E-05
  5.4000E-02     |      0.9995140     |   5.2473E-05
  5.5000E-02     |      0.9994959     |   5.5442E-05
  5.6000E-02     |      0.9994774     |   5.8520E-05
  5.7000E-02     |      0.9994585     |   6.1711E-05
  5.8000E-02     |      0.9994394     |   6.5015E-05
