 Startwert=           2.00000000000
            0          2.00000000000              2.10200194990
            1          2.10200194990              2.19197622573
            2          2.19197622573              2.27234346585
            3          2.27234346585              2.34485468148
            4          2.34485468148              2.41081914796
            5          2.41081914796              2.47124243031
            6          2.47124243031              2.52691413469
            7          2.52691413469              2.57846595371
            8          2.57846595371              2.62641135234
            9          2.62641135234              2.67117347276
           10          2.67117347276              2.71310523341
           11          2.71310523341              2.75250411188
           12          2.75250411188              2.78962321931
           13          2.78962321931              2.82467973230
           14          2.82467973230              2.85786140676
           15          2.85786140676              2.88933167560
           16          2.88933167560              2.91923368533
           17          2.91923368533              2.94769352664
           18          2.94769352664              2.97482284500
           19          2.97482284500              3.00072096917
           20          3.00072096917              3.02547666078
           21          3.02547666078              3.04916956335
           22          3.04916956335              3.07187141073
           23          3.07187141073              3.09364704146
           24          3.09364704146              3.11455525531
           25          3.11455525531              3.13464954063
           26          3.13464954063              3.15397869531
           27          3.15397869531              3.17258735941
           28          3.17258735941              3.19051647418
           29          3.19051647418              3.20780367944
           30          3.20780367944              3.22448365888
           31          3.22448365888              3.24058844132
           32          3.24058844132              3.25614766463
           33          3.25614766463              3.27118880743
           34          3.27118880743              3.28573739359
           35          3.28573739359              3.29981717289
           36          3.29981717289              3.31345028136
           37          3.31345028136              3.32665738391
           38          3.32665738391              3.33945780144
           39          3.33945780144              3.35186962464
           40          3.35186962464              3.36390981589
           41          3.36390981589              3.37559430086
           42          3.37559430086              3.38693805099
           43          3.38693805099              3.39795515796
           44          3.39795515796              3.40865890097
           45          3.40865890097              3.41906180775
           46          3.41906180775              3.42917570996
           47          3.42917570996              3.43901179353
           48          3.43901179353              3.44858064460
           49          3.44858064460              3.45789229135
           50          3.45789229135              3.46695624236
           51          3.46695624236              3.47578152164
           52          3.47578152164              3.48437670079
           53          3.48437670079              3.49274992853
           54          3.49274992853              3.50090895788
           55          3.50090895788              3.50886117117
           56          3.50886117117              3.51661360312
           57          3.51661360312              3.52417296212
           58          3.52417296212              3.53154564994
           59          3.53154564994              3.53873777997
           60          3.53873777997              3.54575519412
           61          3.54575519412              3.55260347849
           62          3.55260347849              3.55928797793
           63          3.55928797793              3.56581380959
           64          3.56581380959              3.57218587553
           65          3.57218587553              3.57840887446
           66          3.57840887446              3.58448731267
           67          3.58448731267              3.59042551431
           68          3.59042551431              3.59622763089
           69          3.59622763089              3.60189765027
           70          3.60189765027              3.60743940498
           71          3.60743940498              3.61285658010
           72          3.61285658010              3.61815272057
           73          3.61815272057              3.62333123814
           74          3.62333123814              3.62839541779
           75          3.62839541779              3.63334842388
           76          3.63334842388              3.63819330582
           77          3.63819330582              3.64293300354
           78          3.64293300354              3.64757035247
           79          3.64757035247              3.65210808843
           80          3.65210808843              3.65654885207
           81          3.65654885207              3.66089519319
           82          3.66089519319              3.66514957475
           83          3.66514957475              3.66931437665
           84          3.66931437665              3.67339189938
           85          3.67339189938              3.67738436739
           86          3.67738436739              3.68129393236
           87          3.68129393236              3.68512267619
           88          3.68512267619              3.68887261399
           89          3.68887261399              3.69254569675
           90          3.69254569675              3.69614381400
           91          3.69614381400              3.69966879626
           92          3.69966879626              3.70312241742
           93          3.70312241742              3.70650639697
           94          3.70650639697              3.70982240212
           95          3.70982240212              3.71307204983
           96          3.71307204983              3.71625690877
           97          3.71625690877              3.71937850110
           98          3.71937850110              3.72243830427
           99          3.72243830427              3.72543775268
          100          3.72543775268              3.72837823926
          101          3.72837823926              3.73126111700
          102          3.73126111700              3.73408770039
          103          3.73408770039              3.73685926682
          104          3.73685926682              3.73957705791
          105          3.73957705791              3.74224228074
          106          3.74224228074              3.74485610910
          107          3.74485610910              3.74741968465
          108          3.74741968465              3.74993411796
          109          3.74993411796              3.75240048969
          110          3.75240048969              3.75481985148
          111          3.75481985148              3.75719322701
          112          3.75719322701              3.75952161291
          113          3.75952161291              3.76180597965
          114          3.76180597965              3.76404727237
          115          3.76404727237              3.76624641177
          116          3.76624641177              3.76840429484
          117          3.76840429484              3.77052179566
          118          3.77052179566              3.77259976610
          119          3.77259976610              3.77463903652
          120          3.77463903652              3.77664041648
          121          3.77664041648              3.77860469535
          122          3.77860469535              3.78053264294
          123          3.78053264294              3.78242501011
          124          3.78242501011              3.78428252934
          125          3.78428252934              3.78610591527
          126          3.78610591527              3.78789586526
          127          3.78789586526              3.78965305991
          128          3.78965305991              3.79137816350
          129          3.79137816350              3.79307182453
          130          3.79307182453              3.79473467615
          131          3.79473467615              3.79636733661
          132          3.79636733661              3.79797040969
          133          3.79797040969              3.79954448511
          134          3.79954448511              3.80109013893
          135          3.80109013893              3.80260793392
          136          3.80260793392              3.80409841997
          137          3.80409841997              3.80556213440
          138          3.80556213440              3.80699960236
          139          3.80699960236              3.80841133710
          140          3.80841133710              3.80979784035
          141          3.80979784035              3.81115960262
          142          3.81115960262              3.81249710347
          143          3.81249710347              3.81381081184
          144          3.81381081184              3.81510118632
          145          3.81510118632              3.81636867543
          146          3.81636867543              3.81761371785
          147          3.81761371785              3.81883674274
          148          3.81883674274              3.82003816993
          149          3.82003816993              3.82121841018
          150          3.82121841018              3.82237786544
          151          3.82237786544              3.82351692903
          152          3.82351692903              3.82463598589
          153          3.82463598589              3.82573541277
          154          3.82573541277              3.82681557847
          155          3.82681557847              3.82787684399
          156          3.82787684399              3.82891956277
          157          3.82891956277              3.82994408084
          158          3.82994408084              3.83095073704
          159          3.83095073704              3.83193986315
          160          3.83193986315              3.83291178411
          161          3.83291178411              3.83386681815
          162          3.83386681815              3.83480527696
