      Radius     |       Dichte
  1.8700E-01     |      0.9941820
  1.8800E-01     |      0.9941197
  1.8900E-01     |      0.9940571
  1.9000E-01     |      0.9939942
  1.9100E-01     |      0.9939309
  1.9200E-01     |      0.9938673
  1.9300E-01     |      0.9938034
  1.9400E-01     |      0.9937391
  1.9500E-01     |      0.9936745
  1.9600E-01     |      0.9936096
  1.9700E-01     |      0.9935444
  1.9800E-01     |      0.9934788
  1.9900E-01     |      0.9934129
  2.0000E-01     |      0.9933467
  2.0100E-01     |      0.9932801
  2.0200E-01     |      0.9932132
  2.0300E-01     |      0.9931460
  2.0400E-01     |      0.9930784
  2.0500E-01     |      0.9930105
  2.0600E-01     |      0.9929423
  2.0700E-01     |      0.9928738
  2.0800E-01     |      0.9928049
  2.0900E-01     |      0.9927357
  2.1000E-01     |      0.9926662
  2.1100E-01     |      0.9925963
  2.1200E-01     |      0.9925261
  2.1300E-01     |      0.9924556
  2.1400E-01     |      0.9923848
  2.1500E-01     |      0.9923136
  2.1600E-01     |      0.9922421
  2.1700E-01     |      0.9921703
  2.1800E-01     |      0.9920981
  2.1900E-01     |      0.9920256
  2.2000E-01     |      0.9919528
  2.2100E-01     |      0.9918797
  2.2200E-01     |      0.9918062
  2.2300E-01     |      0.9917324
  2.2400E-01     |      0.9916583
  2.2500E-01     |      0.9915838
  2.2600E-01     |      0.9915090
  2.2700E-01     |      0.9914339
  2.2800E-01     |      0.9913585
  2.2900E-01     |      0.9912827
  2.3000E-01     |      0.9912066
  2.3100E-01     |      0.9911302
  2.3200E-01     |      0.9910534
  2.3300E-01     |      0.9909764
  2.3400E-01     |      0.9908990
  2.3500E-01     |      0.9908212
  2.3600E-01     |      0.9907431
  2.3700E-01     |      0.9906648
  2.3800E-01     |      0.9905860
  2.3900E-01     |      0.9905070
  2.4000E-01     |      0.9904276
  2.4100E-01     |      0.9903479
  2.4200E-01     |      0.9902679
  2.4300E-01     |      0.9901875
  2.4400E-01     |      0.9901068
  2.4500E-01     |      0.9900258
  2.4600E-01     |      0.9899445
  2.4700E-01     |      0.9898628
  2.4800E-01     |      0.9897808
  2.4900E-01     |      0.9896985
  2.5000E-01     |      0.9896158
  2.5100E-01     |      0.9895329
  2.5200E-01     |      0.9894496
  2.5300E-01     |      0.9893659
  2.5400E-01     |      0.9892820
  2.5500E-01     |      0.9891977
  2.5600E-01     |      0.9891131
  2.5700E-01     |      0.9890281
  2.5800E-01     |      0.9889429
  2.5900E-01     |      0.9888573
  2.6000E-01     |      0.9887714
  2.6100E-01     |      0.9886851
  2.6200E-01     |      0.9885985
  2.6300E-01     |      0.9885116
  2.6400E-01     |      0.9884244
  2.6500E-01     |      0.9883369
  2.6600E-01     |      0.9882490
  2.6700E-01     |      0.9881608
  2.6800E-01     |      0.9880722
  2.6900E-01     |      0.9879834
  2.7000E-01     |      0.9878942
  2.7100E-01     |      0.9878047
  2.7200E-01     |      0.9877149
  2.7300E-01     |      0.9876247
  2.7400E-01     |      0.9875342
  2.7500E-01     |      0.9874434
  2.7600E-01     |      0.9873523
  2.7700E-01     |      0.9872608
  2.7800E-01     |      0.9871690
  2.7900E-01     |      0.9870769
  2.8000E-01     |      0.9869845
  2.8100E-01     |      0.9868917
  2.8200E-01     |      0.9867986
  2.8300E-01     |      0.9867052
  2.8400E-01     |      0.9866114
  2.8500E-01     |      0.9865174
  2.8600E-01     |      0.9864230
  2.8700E-01     |      0.9863283
  2.8800E-01     |      0.9862332
  2.8900E-01     |      0.9861378
  2.9000E-01     |      0.9860422
  2.9100E-01     |      0.9859461
  2.9200E-01     |      0.9858498
  2.9300E-01     |      0.9857531
  2.9400E-01     |      0.9856561
  2.9500E-01     |      0.9855588
  2.9600E-01     |      0.9854612
  2.9700E-01     |      0.9853632
  2.9800E-01     |      0.9852649
  2.9900E-01     |      0.9851663
  3.0000E-01     |      0.9850674
  3.0100E-01     |      0.9849681
  3.0200E-01     |      0.9848685
  3.0300E-01     |      0.9847686
  3.0400E-01     |      0.9846683
  3.0500E-01     |      0.9845678
  3.0600E-01     |      0.9844669
  3.0700E-01     |      0.9843657
  3.0800E-01     |      0.9842642
  3.0900E-01     |      0.9841623
  3.1000E-01     |      0.9840601
  3.1100E-01     |      0.9839576
  3.1200E-01     |      0.9838548
  3.1300E-01     |      0.9837516
  3.1400E-01     |      0.9836482
  3.1500E-01     |      0.9835444
  3.1600E-01     |      0.9834402
  3.1700E-01     |      0.9833358
  3.1800E-01     |      0.9832310
  3.1900E-01     |      0.9831259
  3.2000E-01     |      0.9830205
  3.2100E-01     |      0.9829148
  3.2200E-01     |      0.9828087
  3.2300E-01     |      0.9827023
  3.2400E-01     |      0.9825956
  3.2500E-01     |      0.9824886
  3.2600E-01     |      0.9823812
  3.2700E-01     |      0.9822735
  3.2800E-01     |      0.9821655
  3.2900E-01     |      0.9820572
  3.3000E-01     |      0.9819486
  3.3100E-01     |      0.9818396
  3.3200E-01     |      0.9817303
  3.3300E-01     |      0.9816207
  3.3400E-01     |      0.9815108
  3.3500E-01     |      0.9814005
  3.3600E-01     |      0.9812899
  3.3700E-01     |      0.9811790
  3.3800E-01     |      0.9810678
  3.3900E-01     |      0.9809563
  3.4000E-01     |      0.9808444
  3.4100E-01     |      0.9807322
  3.4200E-01     |      0.9806197
  3.4300E-01     |      0.9805069
  3.4400E-01     |      0.9803937
  3.4500E-01     |      0.9802802
  3.4600E-01     |      0.9801664
  3.4700E-01     |      0.9800523
  3.4800E-01     |      0.9799379
  3.4900E-01     |      0.9798231
  3.5000E-01     |      0.9797080
  3.5100E-01     |      0.9795926
  3.5200E-01     |      0.9794769
  3.5300E-01     |      0.9793608
  3.5400E-01     |      0.9792445
  3.5500E-01     |      0.9791278
  3.5600E-01     |      0.9790108
  3.5700E-01     |      0.9788935
  3.5800E-01     |      0.9787758
  3.5900E-01     |      0.9786578
  3.6000E-01     |      0.9785395
  3.6100E-01     |      0.9784209
  3.6200E-01     |      0.9783020
  3.6300E-01     |      0.9781827
  3.6400E-01     |      0.9780632
  3.6500E-01     |      0.9779433
  3.6600E-01     |      0.9778231
  3.6700E-01     |      0.9777025
  3.6800E-01     |      0.9775817
  3.6900E-01     |      0.9774605
  3.7000E-01     |      0.9773390
  3.7100E-01     |      0.9772172
  3.7200E-01     |      0.9770951
  3.7300E-01     |      0.9769726
  3.7400E-01     |      0.9768498
  3.7500E-01     |      0.9767267
  3.7600E-01     |      0.9766033
  3.7700E-01     |      0.9764796
  3.7800E-01     |      0.9763556
  3.7900E-01     |      0.9762312
  3.8000E-01     |      0.9761065
  3.8100E-01     |      0.9759815
  3.8200E-01     |      0.9758562
  3.8300E-01     |      0.9757305
  3.8400E-01     |      0.9756046
  3.8500E-01     |      0.9754783
  3.8600E-01     |      0.9753517
  3.8700E-01     |      0.9752248
  3.8800E-01     |      0.9750975
  3.8900E-01     |      0.9749700
  3.9000E-01     |      0.9748421
  3.9100E-01     |      0.9747139
  3.9200E-01     |      0.9745854
  3.9300E-01     |      0.9744566
  3.9400E-01     |      0.9743274
  3.9500E-01     |      0.9741979
  3.9600E-01     |      0.9740682
  3.9700E-01     |      0.9739381
  3.9800E-01     |      0.9738076
  3.9900E-01     |      0.9736769
  4.0000E-01     |      0.9735459
  4.0100E-01     |      0.9734145
  4.0200E-01     |      0.9732828
  4.0300E-01     |      0.9731508
  4.0400E-01     |      0.9730185
  4.0500E-01     |      0.9728858
  4.0600E-01     |      0.9727529
  4.0700E-01     |      0.9726196
  4.0800E-01     |      0.9724860
  4.0900E-01     |      0.9723521
  4.1000E-01     |      0.9722179
  4.1100E-01     |      0.9720833
  4.1200E-01     |      0.9719485
  4.1300E-01     |      0.9718133
  4.1400E-01     |      0.9716778
  4.1500E-01     |      0.9715420
  4.1600E-01     |      0.9714059
  4.1700E-01     |      0.9712694
  4.1800E-01     |      0.9711327
  4.1900E-01     |      0.9709956
  4.2000E-01     |      0.9708582
  4.2100E-01     |      0.9707205
  4.2200E-01     |      0.9705825
  4.2300E-01     |      0.9704442
  4.2400E-01     |      0.9703055
  4.2500E-01     |      0.9701665
  4.2600E-01     |      0.9700273
  4.2700E-01     |      0.9698877
  4.2800E-01     |      0.9697478
  4.2900E-01     |      0.9696075
  4.3000E-01     |      0.9694670
  4.3100E-01     |      0.9693261
  4.3200E-01     |      0.9691850
  4.3300E-01     |      0.9690435
  4.3400E-01     |      0.9689017
  4.3500E-01     |      0.9687595
  4.3600E-01     |      0.9686171
  4.3700E-01     |      0.9684744
  4.3800E-01     |      0.9683313
  4.3900E-01     |      0.9681879
  4.4000E-01     |      0.9680442
  4.4100E-01     |      0.9679002
  4.4200E-01     |      0.9677559
  4.4300E-01     |      0.9676113
  4.4400E-01     |      0.9674663
  4.4500E-01     |      0.9673211
  4.4600E-01     |      0.9671755
  4.4700E-01     |      0.9670296
  4.4800E-01     |      0.9668834
  4.4900E-01     |      0.9667369
  4.5000E-01     |      0.9665901
  4.5100E-01     |      0.9664429
  4.5200E-01     |      0.9662955
  4.5300E-01     |      0.9661477
  4.5400E-01     |      0.9659996
  4.5500E-01     |      0.9658512
  4.5600E-01     |      0.9657025
  4.5700E-01     |      0.9655535
  4.5800E-01     |      0.9654042
  4.5900E-01     |      0.9652545
  4.6000E-01     |      0.9651046
  4.6100E-01     |      0.9649543
  4.6200E-01     |      0.9648037
  4.6300E-01     |      0.9646528
  4.6400E-01     |      0.9645016
  4.6500E-01     |      0.9643501
  4.6600E-01     |      0.9641983
  4.6700E-01     |      0.9640461
  4.6800E-01     |      0.9638937
  4.6900E-01     |      0.9637409
  4.7000E-01     |      0.9635878
  4.7100E-01     |      0.9634345
  4.7200E-01     |      0.9632808
  4.7300E-01     |      0.9631267
  4.7400E-01     |      0.9629724
  4.7500E-01     |      0.9628178
  4.7600E-01     |      0.9626628
  4.7700E-01     |      0.9625076
  4.7800E-01     |      0.9623520
  4.7900E-01     |      0.9621961
  4.8000E-01     |      0.9620399
  4.8100E-01     |      0.9618834
  4.8200E-01     |      0.9617266
  4.8300E-01     |      0.9615695
  4.8400E-01     |      0.9614121
  4.8500E-01     |      0.9612543
  4.8600E-01     |      0.9610963
  4.8700E-01     |      0.9609379
  4.8800E-01     |      0.9607793
  4.8900E-01     |      0.9606203
  4.9000E-01     |      0.9604610
  4.9100E-01     |      0.9603014
  4.9200E-01     |      0.9601415
  4.9300E-01     |      0.9599813
  4.9400E-01     |      0.9598207
  4.9500E-01     |      0.9596599
  4.9600E-01     |      0.9594988
  4.9700E-01     |      0.9593373
  4.9800E-01     |      0.9591755
  4.9900E-01     |      0.9590135
  5.0000E-01     |      0.9588511
  5.0100E-01     |      0.9586884
  5.0200E-01     |      0.9585254
  5.0300E-01     |      0.9583621
  5.0400E-01     |      0.9581985
  5.0500E-01     |      0.9580345
  5.0600E-01     |      0.9578703
  5.0700E-01     |      0.9577058
  5.0800E-01     |      0.9575409
  5.0900E-01     |      0.9573758
  5.1000E-01     |      0.9572103
  5.1100E-01     |      0.9570445
  5.1200E-01     |      0.9568784
