      Radius     |       Dichte
 ______________________________________
 
  1.0000E-04     |      1.0000000
  2.0000E-04     |      1.0000000
  3.0000E-04     |      1.0000000
  4.0000E-04     |      1.0000000
  5.0000E-04     |      1.0000000
  6.0000E-04     |      0.9999999
  7.0000E-04     |      0.9999999
  8.0000E-04     |      0.9999999
  9.0000E-04     |      0.9999999
  1.0000E-03     |      0.9999998
  1.1000E-03     |      0.9999998
  1.2000E-03     |      0.9999998
  1.3000E-03     |      0.9999997
  1.4000E-03     |      0.9999997
  1.5000E-03     |      0.9999996
  1.6000E-03     |      0.9999996
  1.7000E-03     |      0.9999995
  1.8000E-03     |      0.9999995
  1.9000E-03     |      0.9999994
  2.0000E-03     |      0.9999993
  2.1000E-03     |      0.9999993
  2.2000E-03     |      0.9999992
  2.3000E-03     |      0.9999991
  2.4000E-03     |      0.9999990
  2.5000E-03     |      0.9999990
  2.6000E-03     |      0.9999989
  2.7000E-03     |      0.9999988
  2.8000E-03     |      0.9999987
  2.9000E-03     |      0.9999986
  3.0000E-03     |      0.9999985
  3.1000E-03     |      0.9999984
  3.2000E-03     |      0.9999983
  3.3000E-03     |      0.9999982
  3.4000E-03     |      0.9999981
  3.5000E-03     |      0.9999980
  3.6000E-03     |      0.9999978
  3.7000E-03     |      0.9999977
  3.8000E-03     |      0.9999976
  3.9000E-03     |      0.9999975
  4.0000E-03     |      0.9999973
  4.1000E-03     |      0.9999972
  4.2000E-03     |      0.9999971
  4.3000E-03     |      0.9999969
  4.4000E-03     |      0.9999968
  4.5000E-03     |      0.9999966
  4.6000E-03     |      0.9999965
  4.7000E-03     |      0.9999963
  4.8000E-03     |      0.9999962
  4.9000E-03     |      0.9999960
  5.0000E-03     |      0.9999958
  5.1000E-03     |      0.9999957
  5.2000E-03     |      0.9999955
  5.3000E-03     |      0.9999953
  5.4000E-03     |      0.9999951
  5.5000E-03     |      0.9999950
  5.6000E-03     |      0.9999948
  5.7000E-03     |      0.9999946
  5.8000E-03     |      0.9999944
  5.9000E-03     |      0.9999942
  6.0000E-03     |      0.9999940
  6.1000E-03     |      0.9999938
  6.2000E-03     |      0.9999936
  6.3000E-03     |      0.9999934
  6.4000E-03     |      0.9999932
  6.5000E-03     |      0.9999930
  6.6000E-03     |      0.9999927
  6.7000E-03     |      0.9999925
  6.8000E-03     |      0.9999923
  6.9000E-03     |      0.9999921
  7.0000E-03     |      0.9999918
  7.1000E-03     |      0.9999916
  7.2000E-03     |      0.9999914
  7.3000E-03     |      0.9999911
  7.4000E-03     |      0.9999909
  7.5000E-03     |      0.9999906
  7.6000E-03     |      0.9999904
  7.7000E-03     |      0.9999901
  7.8000E-03     |      0.9999899
  7.9000E-03     |      0.9999896
  8.0000E-03     |      0.9999893
  8.1000E-03     |      0.9999891
  8.2000E-03     |      0.9999888
  8.3000E-03     |      0.9999885
  8.4000E-03     |      0.9999882
  8.5000E-03     |      0.9999880
  8.6000E-03     |      0.9999877
  8.7000E-03     |      0.9999874
  8.8000E-03     |      0.9999871
  8.9000E-03     |      0.9999868
  9.0000E-03     |      0.9999865
  9.1000E-03     |      0.9999862
  9.2000E-03     |      0.9999859
  9.3000E-03     |      0.9999856
