      Radius     |       Dichte       |       Masse
  1.1800E-02     |      0.9999768     |   5.4767E-07
  1.1900E-02     |      0.9999764     |   5.6171E-07
  1.2000E-02     |      0.9999760     |   5.7599E-07
  1.2100E-02     |      0.9999756     |   5.9051E-07
  1.2200E-02     |      0.9999752     |   6.0527E-07
  1.2300E-02     |      0.9999748     |   6.2028E-07
  1.2400E-02     |      0.9999744     |   6.3553E-07
  1.2500E-02     |      0.9999740     |   6.5103E-07
  1.2600E-02     |      0.9999735     |   6.6678E-07
  1.2700E-02     |      0.9999731     |   6.8278E-07
  1.2800E-02     |      0.9999727     |   6.9904E-07
  1.2900E-02     |      0.9999723     |   7.1555E-07
  1.3000E-02     |      0.9999718     |   7.3232E-07
  1.3100E-02     |      0.9999714     |   7.4935E-07
  1.3200E-02     |      0.9999710     |   7.6664E-07
  1.3300E-02     |      0.9999705     |   7.8420E-07
  1.3400E-02     |      0.9999701     |   8.0202E-07
  1.3500E-02     |      0.9999696     |   8.2011E-07
  1.3600E-02     |      0.9999692     |   8.3847E-07
  1.3700E-02     |      0.9999687     |   8.5710E-07
  1.3800E-02     |      0.9999683     |   8.7601E-07
  1.3900E-02     |      0.9999678     |   8.9519E-07
  1.4000E-02     |      0.9999673     |   9.1465E-07
  1.4100E-02     |      0.9999669     |   9.3439E-07
  1.4200E-02     |      0.9999664     |   9.5441E-07
  1.4300E-02     |      0.9999659     |   9.7472E-07
  1.4400E-02     |      0.9999654     |   9.9531E-07
  1.4500E-02     |      0.9999650     |   1.0162E-06
  1.4600E-02     |      0.9999645     |   1.0374E-06
  1.4700E-02     |      0.9999640     |   1.0588E-06
  1.4800E-02     |      0.9999635     |   1.0806E-06
  1.4900E-02     |      0.9999630     |   1.1026E-06
  1.5000E-02     |      0.9999625     |   1.1250E-06
  1.5100E-02     |      0.9999620     |   1.1476E-06
  1.5200E-02     |      0.9999615     |   1.1706E-06
  1.5300E-02     |      0.9999610     |   1.1938E-06
  1.5400E-02     |      0.9999605     |   1.2174E-06
  1.5500E-02     |      0.9999600     |   1.2413E-06
  1.5600E-02     |      0.9999594     |   1.2654E-06
  1.5700E-02     |      0.9999589     |   1.2899E-06
  1.5800E-02     |      0.9999584     |   1.3147E-06
  1.5900E-02     |      0.9999579     |   1.3399E-06
  1.6000E-02     |      0.9999573     |   1.3653E-06
  1.6100E-02     |      0.9999568     |   1.3911E-06
  1.6200E-02     |      0.9999563     |   1.4171E-06
  1.6300E-02     |      0.9999557     |   1.4435E-06
  1.6400E-02     |      0.9999552     |   1.4703E-06
  1.6500E-02     |      0.9999546     |   1.4973E-06
  1.6600E-02     |      0.9999541     |   1.5247E-06
  1.6700E-02     |      0.9999535     |   1.5524E-06
  1.6800E-02     |      0.9999530     |   1.5805E-06
  1.6900E-02     |      0.9999524     |   1.6089E-06
  1.7000E-02     |      0.9999518     |   1.6376E-06
  1.7100E-02     |      0.9999513     |   1.6667E-06
  1.7200E-02     |      0.9999507     |   1.6961E-06
  1.7300E-02     |      0.9999501     |   1.7259E-06
  1.7400E-02     |      0.9999495     |   1.7560E-06
  1.7500E-02     |      0.9999490     |   1.7864E-06
  1.7600E-02     |      0.9999484     |   1.8172E-06
  1.7700E-02     |      0.9999478     |   1.8484E-06
  1.7800E-02     |      0.9999472     |   1.8799E-06
  1.7900E-02     |      0.9999466     |   1.9117E-06
  1.8000E-02     |      0.9999460     |   1.9439E-06
  1.8100E-02     |      0.9999454     |   1.9765E-06
  1.8200E-02     |      0.9999448     |   2.0095E-06
  1.8300E-02     |      0.9999442     |   2.0428E-06
  1.8400E-02     |      0.9999436     |   2.0764E-06
  1.8500E-02     |      0.9999430     |   2.1105E-06
  1.8600E-02     |      0.9999423     |   2.1449E-06
  1.8700E-02     |      0.9999417     |   2.1797E-06
  1.8800E-02     |      0.9999411     |   2.2148E-06
  1.8900E-02     |      0.9999405     |   2.2503E-06
  1.9000E-02     |      0.9999398     |   2.2863E-06
  1.9100E-02     |      0.9999392     |   2.3225E-06
  1.9200E-02     |      0.9999386     |   2.3592E-06
  1.9300E-02     |      0.9999379     |   2.3963E-06
  1.9400E-02     |      0.9999373     |   2.4337E-06
  1.9500E-02     |      0.9999366     |   2.4715E-06
  1.9600E-02     |      0.9999360     |   2.5097E-06
  1.9700E-02     |      0.9999353     |   2.5484E-06
