      Radius     |       Dichte
  1.8700E+00     |      0.5110008
  1.8800E+00     |      0.5066895
  1.8900E+00     |      0.5023733
  1.9000E+00     |      0.4980527
  1.9100E+00     |      0.4937277
  1.9200E+00     |      0.4893987
  1.9300E+00     |      0.4850658
  1.9400E+00     |      0.4807294
  1.9500E+00     |      0.4763896
  1.9600E+00     |      0.4720467
  1.9700E+00     |      0.4677009
  1.9800E+00     |      0.4633525
  1.9900E+00     |      0.4590017
  2.0000E+00     |      0.4546487
  2.0100E+00     |      0.4502938
  2.0200E+00     |      0.4459372
  2.0300E+00     |      0.4415792
  2.0400E+00     |      0.4372199
  2.0500E+00     |      0.4328597
  2.0600E+00     |      0.4284987
  2.0700E+00     |      0.4241372
  2.0800E+00     |      0.4197755
  2.0900E+00     |      0.4154137
  2.1000E+00     |      0.4110521
  2.1100E+00     |      0.4066909
  2.1200E+00     |      0.4023304
  2.1300E+00     |      0.3979708
  2.1400E+00     |      0.3936124
  2.1500E+00     |      0.3892553
  2.1600E+00     |      0.3848998
  2.1700E+00     |      0.3805461
  2.1800E+00     |      0.3761945
  2.1900E+00     |      0.3718452
  2.2000E+00     |      0.3674984
  2.2100E+00     |      0.3631543
  2.2200E+00     |      0.3588133
  2.2300E+00     |      0.3544754
  2.2400E+00     |      0.3501410
  2.2500E+00     |      0.3458103
  2.2600E+00     |      0.3414835
  2.2700E+00     |      0.3371608
  2.2800E+00     |      0.3328424
  2.2900E+00     |      0.3285286
  2.3000E+00     |      0.3242197
  2.3100E+00     |      0.3199157
  2.3200E+00     |      0.3156170
  2.3300E+00     |      0.3113238
  2.3400E+00     |      0.3070362
  2.3500E+00     |      0.3027546
  2.3600E+00     |      0.2984791
  2.3700E+00     |      0.2942100
  2.3800E+00     |      0.2899475
  2.3900E+00     |      0.2856917
  2.4000E+00     |      0.2814430
  2.4100E+00     |      0.2772015
  2.4200E+00     |      0.2729674
  2.4300E+00     |      0.2687411
  2.4400E+00     |      0.2645225
  2.4500E+00     |      0.2603121
  2.4600E+00     |      0.2561100
  2.4700E+00     |      0.2519164
  2.4800E+00     |      0.2477316
  2.4900E+00     |      0.2435556
  2.5000E+00     |      0.2393889
  2.5100E+00     |      0.2352314
  2.5200E+00     |      0.2310836
  2.5300E+00     |      0.2269455
  2.5400E+00     |      0.2228174
  2.5500E+00     |      0.2186995
  2.5600E+00     |      0.2145920
  2.5700E+00     |      0.2104950
