      Radius     |       Dichte       |       Masse
 ___________________________________________________________
 
  1.0000E-02     |      0.9999792     |   3.3333E-07
  2.0000E-02     |      0.9999289     |   2.6665E-06
  3.0000E-02     |      0.9998455     |   8.9991E-06
  4.0000E-02     |      0.9997288     |   2.1330E-05
  5.0000E-02     |      0.9995788     |   4.1656E-05
  6.0000E-02     |      0.9993956     |   7.1974E-05
  7.0000E-02     |      0.9991790     |   1.1428E-04
  8.0000E-02     |      0.9989291     |   1.7056E-04
  9.0000E-02     |      0.9986460     |   2.4280E-04
  1.0000E-01     |      0.9983296     |   3.3300E-04
  1.1000E-01     |      0.9979800     |   4.4313E-04
  1.2000E-01     |      0.9975972     |   5.7517E-04
  1.3000E-01     |      0.9971812     |   7.3109E-04
  1.4000E-01     |      0.9967320     |   9.1287E-04
  1.5000E-01     |      0.9962497     |   1.1225E-03
  1.6000E-01     |      0.9957342     |   1.3618E-03
  1.7000E-01     |      0.9951857     |   1.6329E-03
  1.8000E-01     |      0.9946042     |   1.9377E-03
  1.9000E-01     |      0.9939896     |   2.2781E-03
  2.0000E-01     |      0.9933421     |   2.6560E-03
  2.1000E-01     |      0.9926617     |   3.0734E-03
  2.2000E-01     |      0.9919483     |   3.5322E-03
  2.3000E-01     |      0.9912021     |   4.0342E-03
  2.4000E-01     |      0.9904231     |   4.5815E-03
  2.5000E-01     |      0.9896113     |   5.1758E-03
  2.6000E-01     |      0.9887668     |   5.8191E-03
  2.7000E-01     |      0.9878897     |   6.5133E-03
  2.8000E-01     |      0.9869800     |   7.2601E-03
  2.9000E-01     |      0.9860377     |   8.0615E-03
  3.0000E-01     |      0.9850629     |   8.9192E-03
  3.1000E-01     |      0.9840556     |   9.8352E-03
  3.2000E-01     |      0.9830160     |   1.0811E-02
  3.3000E-01     |      0.9819441     |   1.1849E-02
  3.4000E-01     |      0.9808399     |   1.2950E-02
  3.5000E-01     |      0.9797035     |   1.4117E-02
  3.6000E-01     |      0.9785351     |   1.5351E-02
  3.7000E-01     |      0.9773345     |   1.6654E-02
  3.8000E-01     |      0.9761020     |   1.8028E-02
  3.9000E-01     |      0.9748376     |   1.9474E-02
  4.0000E-01     |      0.9735414     |   2.0994E-02
  4.1000E-01     |      0.9722134     |   2.2590E-02
  4.2000E-01     |      0.9708538     |   2.4263E-02
  4.3000E-01     |      0.9694626     |   2.6015E-02
  4.4000E-01     |      0.9680398     |   2.7849E-02
  4.5000E-01     |      0.9665857     |   2.9764E-02
  4.6000E-01     |      0.9651002     |   3.1764E-02
  4.7000E-01     |      0.9635834     |   3.3849E-02
  4.8000E-01     |      0.9620356     |   3.6021E-02
  4.9000E-01     |      0.9604566     |   3.8283E-02
  5.0000E-01     |      0.9588467     |   4.0634E-02
  5.1000E-01     |      0.9572059     |   4.3077E-02
  5.2000E-01     |      0.9555344     |   4.5614E-02
  5.3000E-01     |      0.9538321     |   4.8245E-02
  5.4000E-01     |      0.9520993     |   5.0973E-02
  5.5000E-01     |      0.9503361     |   5.3798E-02
  5.6000E-01     |      0.9485424     |   5.6723E-02
  5.7000E-01     |      0.9467186     |   5.9748E-02
  5.8000E-01     |      0.9448645     |   6.2875E-02
